Rolling,Lower Bound,Upper Bound,Shift,p-value
15,4,300,20,0.5028962114750589
15,4,300,25,0.5085836755205516
15,4,300,30,0.9897578845048107
15,4,300,35,0.7577011647711428
15,4,300,40,0.6261849576850729
15,4,300,45,0.8716332665457351
15,4,300,50,0.8453374841394434
15,5,12,0,0.9537896724118748
15,5,12,5,0.7366447977543917
15,5,12,10,0.6141079616306384
15,5,12,15,0.5151288955703667
15,5,12,20,0.5586099089792429
15,5,12,25,0.496721026842744
15,5,12,30,0.9192209403714549
15,5,12,35,0.8253409275238227
15,5,12,40,0.645855303929259
15,5,12,45,0.8757116865671795
15,5,12,50,0.8689473613744736
15,5,16,0,0.96552537577296
15,5,16,5,0.7316145682775776
15,5,16,10,0.5735017401743203
15,5,16,15,0.493353689714508
15,5,16,20,0.5237795453225973
15,5,16,25,0.4764986058079843
15,5,16,30,0.9192814284897073
15,5,16,35,0.8256219839647432
15,5,16,40,0.6350311641987326
15,5,16,45,0.8823404474062798
15,5,16,50,0.8717473310887573
15,5,20,0,0.914073167697396
15,5,20,5,0.730569314325995
15,5,20,10,0.5476739350668016
15,5,20,15,0.48626487582413014
15,5,20,20,0.5082477112023756
15,5,20,25,0.47209674737519336
15,5,20,30,0.9193324902445665
15,5,20,35,0.8258589712904012
15,5,20,40,0.6284023921907294
15,5,20,45,0.885858439841004
15,5,20,50,0.8724033731799936
15,5,24,0,0.8933229803774764
15,5,24,5,0.7381805711952221
15,5,24,10,0.5314237200450328
15,5,24,15,0.4849434360568464
15,5,24,20,0.5021165098841853
15,5,24,25,0.47200681873335215
15,5,24,30,0.9193759894414815
15,5,24,35,0.8260607325837591
15,5,24,40,0.623979340247194
15,5,24,45,0.8854717223315871
15,5,24,50,0.8706507093090222
15,5,28,0,0.8819272937686594
15,5,28,5,0.7433976147224687
15,5,28,10,0.5199004826780815
15,5,28,15,0.48515103604415744
15,5,28,20,0.4985025472095106
15,5,28,25,0.47193443613094566
15,5,28,30,0.9194111619094757
15,5,28,35,0.8262238981492416
15,5,28,40,0.6210221791941697
15,5,28,45,0.8843537827369498
15,5,28,50,0.869092901703331
15,5,32,0,0.8770634845009435
15,5,32,5,0.7459136016663233
15,5,32,10,0.515974377025156
15,5,32,15,0.48561783139138903
15,5,32,20,0.4982555937829436
15,5,32,25,0.4718852148119588
15,5,32,30,0.9194352142803872
15,5,32,35,0.8263357293149165
