"(-90.15, -0.05, 1)","(-90.15, -0.05, 2)","(-90.15, -0.05, 3)","(-90.15, -0.05, 4)","(-90.15, -0.05, 5)","(-90.15, 0.05, 1)","(-90.15, 0.05, 2)","(-90.15, 0.05, 3)","(-90.15, 0.05, 4)","(-90.15, 0.05, 5)","(-90.15, 0.15, 1)","(-90.15, 0.15, 2)","(-90.15, 0.15, 3)","(-90.15, 0.15, 4)","(-90.15, 0.15, 5)","(-90.05, -0.05, 1)","(-90.05, -0.05, 2)","(-90.05, -0.05, 3)","(-90.05, -0.05, 4)","(-90.05, -0.05, 5)","(-90.05, 0.05, 1)","(-90.05, 0.05, 2)","(-90.05, 0.05, 3)","(-90.05, 0.05, 4)","(-90.05, 0.05, 5)","(-90.05, 0.15, 1)","(-90.05, 0.15, 2)","(-90.05, 0.15, 3)","(-90.05, 0.15, 4)","(-90.05, 0.15, 5)","(-89.95, -0.05, 1)","(-89.95, -0.05, 2)","(-89.95, -0.05, 3)","(-89.95, -0.05, 4)","(-89.95, -0.05, 5)","(-89.95, 0.05, 1)","(-89.95, 0.05, 2)","(-89.95, 0.05, 3)","(-89.95, 0.05, 4)","(-89.95, 0.05, 5)","(-89.95, 0.15, 1)","(-89.95, 0.15, 2)","(-89.95, 0.15, 3)","(-89.95, 0.15, 4)","(-89.95, 0.15, 5)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004282404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004282404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004282404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0038431152,0.0,0.0,0.0,0.0,0.0007965206,0.0,0.0,0.0,0.0,0.0022742068,0.0,0.0,0.0004282404,0.0,0.0051941625,0.0,0.0,0.0,0.0,0.0014533218,0.0,0.0,0.0,0.0,0.004365476,0.0,0.0,0.0,0.0,0.00654521,0.0,0.0,0.0,0.0,0.002633408,0.0,0.0,0.0,0.0,0.007732873,0.0,0.0,0.0,0.0
0.0,0.0038431152,0.0,0.0,0.0,0.0,0.0007965206,0.0,0.0,0.0,0.0,0.0022742068,0.0,0.0,0.0004282404,0.0025469924,0.0051941625,0.0,0.0,0.0,0.00080867985,0.0014533218,0.0,0.0,0.0,0.000110422334,0.004365476,0.0,0.0,0.0,0.016843013,0.00654521,0.0,0.0,0.0,0.0048861764,0.002633408,0.0,0.0,0.0,0.00051476224,0.007732873,0.0,0.0,0.0
0.0,0.0,0.0038431152,0.0,0.0,0.0,0.0,0.0007965206,0.0,0.0,0.0,0.0,0.0022742068,0.0,0.0,0.0,0.0025469924,0.0051941625,0.0,0.0,0.0,0.00080867985,0.0014533218,0.0,0.0,0.0,0.000110422334,0.004365476,0.0,0.0,0.0,0.016843013,0.00654521,0.0,0.0,0.0,0.0048861764,0.002633408,0.0,0.0,0.0,0.00051476224,0.007732873,0.0,0.0
0.0,0.0,0.0,0.0038431152,0.0,0.0,0.0,0.0,0.0007965206,0.0,0.0,0.0,0.0,0.0022742068,0.0,0.0,0.0,0.0025469924,0.0051941625,0.0,0.0,0.0,0.00080867985,0.0014533218,0.0,0.0,0.0,0.000110422334,0.004365476,0.0,0.0,0.0,0.016843013,0.00654521,0.0,0.0,0.0,0.0048861764,0.002633408,0.0,0.0,0.0,0.00051476224,0.007732873,0.0
0.0,0.0,0.0,0.0,0.0038431152,0.0,0.0,0.0,0.0,0.0007965206,0.0,0.0,0.0,0.0,0.0022742068,0.0,0.0,0.0,0.0025469924,0.0051941625,0.0,0.0,0.0,0.00080867985,0.0014533218,0.0,0.0,0.0,0.000110422334,0.004365476,0.0,0.0,0.0,0.016843013,0.00654521,0.0,0.0,0.0,0.0048861764,0.002633408,0.0,0.0,0.0,0.00051476224,0.007732873
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025469924,0.0,0.0,0.0,0.0,0.00080867985,0.0,0.0,0.0,0.0,0.000110422334,0.0,0.0,0.0,0.0,0.016843013,0.0,0.0,0.0,0.0,0.0048861764,0.0,0.0,0.0,0.0,0.00051476224
0.020656396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.020656396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.020656396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.020656396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.020656396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
